row|col|sample|dist|memory(bytes)|avgdist|matrixbuildtime(msecs)|sampletime(msecs)
512|131072|1000|0.1|29579071488|24.455000|2590.000000|1030.000000
512|131072|10000|0.001|29578993664|0.000000|2470.000000|9780.000000
512|131072|10000|0.01|29578829824|2.065000|2250.000000|10170.000000
512|131072|10000|0.1|29578752000|24.068899|2800.000000|10230.000000
512|131072|10000|0.3|29579079680|69.402000|2610.000000|10250.000000
512|131072|10000|0.5|29579071488|106.569801|2860.000000|10180.000000
512|131072|10000|0.7|29579378688|135.798706|2500.000000|10140.000000
512|131072|10000|0.9|29579214848|161.344604|2250.000000|10200.000000
512|131072|10000|0.1|29579251712|24.247999|2720.000000|10240.000000
512|131072|100000|0.001|29579313152|0.000000|2470.000000|98110.000000
512|131072|100000|0.01|29578518528|2.061070|2230.000000|101780.000000
512|131072|100000|0.1|29578362880|24.297380|2810.000000|102600.000000
512|131072|100000|0.3|29578543104|68.570702|2470.000000|103000.000000
512|131072|100000|0.5|29578907648|106.282928|2240.000000|102310.000000
512|131072|100000|0.7|29578358784|136.896713|2470.000000|102120.000000
512|131072|100000|0.9|29578768384|160.899979|2840.000000|101510.000000
512|131072|100000|0.1|29578985472|24.236441|2670.000000|102910.000000
512|131072|1000000|0.001|29578502144|0.000000|2570.000000|994470.000000
512|131072|1000000|0.01|29578526720|2.062256|2500.000000|1026790.000000
512|131072|1000000|0.1|29578678272|24.258135|2240.000000|1038020.000000
512|131072|1000000|0.3|29577994240|68.544159|2480.000000|1035630.000000
512|131072|1000000|0.5|29578305536|106.095329|2240.000000|1035260.000000
512|131072|1000000|0.7|29578428416|136.718857|2860.000000|1023900.000000
512|131072|1000000|0.9|29578661888|160.695877|2250.000000|1020540.000000
512|131072|1000000|0.1|29577445376|24.220903|2270.000000|1044580.000000
4096|128|1000|0.001|29577293824|1.540000|20.000000|0.000000
4096|128|1000|0.01|29577457664|19.756001|30.000000|0.000000
4096|128|1000|0.1|29578362880|196.929993|20.000000|0.000000
4096|128|1000|0.3|29578850304|550.755005|20.000000|0.000000
4096|128|1000|0.5|29577654272|850.979980|10.000000|10.000000
4096|128|1000|0.7|29578059776|1102.748047|20.000000|0.000000
4096|128|1000|0.9|29577867264|1298.123047|10.000000|10.000000
4096|128|1000|0.1|29578653696|196.929993|10.000000|0.000000
